45 110
28 71 S
39 80 \
30 34 \
35 104 /
32 22 \
36 6 \
25 109 \
41 89 \
20 72 \
31 44 /
0 71 /
15 54 \
6 100 /
43 80 /
6 106 /
23 16 \
35 59 \
20 9 \
8 45 \
1 6 /
6 32 \
3 6 /
10 23 \
12 94 /
4 8 /
0 14 /
43 100 \
11 3 \
6 23 \
9 78 \
35 40 /
8 37 /
18 0 /
13 31 /
22 21 \
43 56 \
12 92 /
11 9 /
4 34 \
30 76 /
12 98 \
10 62 /
20 27 /
34 65 /
2 44 \
12 34 /
38 109 /
19 78 \
0 27 /
25 35 /
16 57 /
38 94 \
28 11 /
25 63 /
13 98 \
10 14 \
33 15 \
5 81 /
28 60 \
15 4 /
7 13 \
40 77 /
3 84 /
20 42 /
28 80 /
25 100 \
39 62 \
34 2 \
4 5 \
32 18 \
13 93 \
1 82 \
24 30 /
38 4 /
12 28 \
32 29 /
22 12 \
32 75 \
20 10 /
5 92 /
1 105 \
5 6 \
16 61 \
29 81 /
44 60 /
12 85 \
35 43 /
5 26 /
2 51 \
34 107 /
34 100 /
13 10 \
15 72 \
27 86 \
14 45 \
39 50 \
19 41 /
37 99 \
13 101 /
2 72 /
17 69 /
35 2 \
42 1 \
37 52 /
39 95 /
5 49 \
37 59 \
23 37 /
23 49 \
6 63 \
8 10 \
16 81 \
36 8 \
11 81 \
8 28 /
34 12 /
3 102 /
32 91 /
15 62 \
12 0 \
41 86 \
35 62 \
37 25 \
2 42 \
